Location,Rate,Rate_Percent,County,Type,Notes
Adelanto,0.0775,7.75,San Bernardino,City,
Agoura Hills,0.0975,9.75,Los Angeles,City,
Alameda,0.1075,10.75,Alameda,City,
Alameda County,0.1025,10.25,Alameda,County,
Albany,0.1075,10.75,Alameda,City,
Alhambra,0.105,10.5,Los Angeles,City,
Aliso Viejo,0.0775,7.75,Orange,City,
Alpine County,0.0725,7.249999999999999,Alpine,County,
Alturas,0.0725,7.249999999999999,Modoc,City,
Amador City,0.08,8.0,Amador,City,
Amador County,0.0775,7.75,Amador,County,
American Canyon,0.0775,7.75,Napa,City,
Anaheim,0.0775,7.75,Orange,City,
Anderson,0.0775,7.75,Shasta,City,
Angels Camp,0.0875,8.75,Calaveras,City,
Antioch,0.0975,9.75,Contra Costa,City,
Apple Valley,0.0875,8.75,San Bernardino,City,
Arcadia,0.105,10.5,Los Angeles,City,
Arcata,0.1025,10.25,Humboldt,City,
Arroyo Grande,0.0875,8.75,San Luis Obispo,City,
Artesia,0.105,10.5,Los Angeles,City,
Arvin,0.0825,8.25,Kern,City,
Atascadero,0.0875,8.75,San Luis Obispo,City,
Atherton,0.09375,9.375,San Mateo,City,
Atwater,0.0875,8.75,Merced,City,
Auburn,0.0725,7.249999999999999,Placer,City,
Avalon,0.1025,10.25,Los Angeles,City,
Avenal,0.0825,8.25,Kings,City,
Azusa,0.1075,10.75,Los Angeles,City,
Bakersfield,0.0825,8.25,Kern,City,
Baldwin Park,0.105,10.5,Los Angeles,City,
Banning,0.0775,7.75,Riverside,City,
Barstow,0.0875,8.75,San Bernardino,City,
Beaumont,0.0775,7.75,Riverside,City,
Bell,0.0975,9.75,Los Angeles,City,
Bellflower,0.105,10.5,Los Angeles,City,
Bell Gardens,0.105,10.5,Los Angeles,City,
Belmont,0.09875,9.875,San Mateo,City,
Belvedere,0.0825,8.25,Marin,City,
Benicia,0.09625,9.625,Solano,City,
Berkeley,0.1025,10.25,Alameda,City,
Beverly Hills,0.0975,9.75,Los Angeles,City,
Big Bear Lake,0.0775,7.75,San Bernardino,City,
Biggs,0.0825,8.25,Butte,City,
Bishop,0.0875,8.75,Inyo,City,
Blue Lake,0.0975,9.75,Humboldt,City,
Blythe,0.0875,8.75,Riverside,City,
Bradbury,0.0975,9.75,Los Angeles,City,
Brawley,0.0875,8.75,Imperial,City,
Brea,0.0775,7.75,Orange,City,
Brentwood,0.0875,8.75,Contra Costa,City,
