"Use the up, down, leff, and right arrows to navigate the worksheet"
Effective Sales and Use Tax Rates
Location,Rate,County,Type,Notes
Adelanto,7.7499999999999999E-2,San Bernardino,City
Agoura Hills,9.7500000000000003E-2,Los Angeles,City
Alameda,0.1075,Alameda,City
Alameda County,0.10249999999999999,Alameda,County
Albany,0.1075,Alameda,City
Alhambra,0.105,Los Angeles,City
Aliso Viejo,7.7499999999999999E-2,Orange,City
Alpine County,7.2499999999999995E-2,Alpine,County
Alturas,7.2499999999999995E-2,Modoc,City
Amador City,0.08,Amador,City
Amador County,7.7499999999999999E-2,Amador,County
American Canyon,7.7499999999999999E-2,Napa,City
Anaheim,7.7499999999999999E-2,Orange,City
Anderson,7.7499999999999999E-2,Shasta,City
Angels Camp,8.7499999999999994E-2,Calaveras,City
Antioch,9.7500000000000003E-2,Contra Costa,City
Apple Valley,8.7499999999999994E-2,San Bernardino,City
Arcadia,0.105,Los Angeles,City
Arcata,0.10249999999999999,Humboldt,City
Arroyo Grande,8.7499999999999994E-2,San Luis Obispo,City
Artesia,0.105,Los Angeles,City
Arvin,8.2500000000000004E-2,Kern,City
Atascadero,8.7499999999999994E-2,San Luis Obispo,City
Atherton,9.375E-2,San Mateo,City
Atwater,8.7499999999999994E-2,Merced,City
Auburn,7.2499999999999995E-2,Placer,City
Avalon,0.10249999999999999,Los Angeles,City
Avenal,8.2500000000000004E-2,Kings,City
Azusa,0.1075,Los Angeles,City
Bakersfield,8.2500000000000004E-2,Kern,City
Baldwin Park,0.105,Los Angeles,City
Banning,7.7499999999999999E-2,Riverside,City
Barstow,8.7499999999999994E-2,San Bernardino,City
Beaumont,7.7499999999999999E-2,Riverside,City
Bell,9.7500000000000003E-2,Los Angeles,City
Bellflower,0.105,Los Angeles,City
Bell Gardens,0.105,Los Angeles,City
Belmont,9.8750000000000004E-2,San Mateo,City
Belvedere,8.2500000000000004E-2,Marin,City
Benicia,9.6250000000000002E-2,Solano,City
Berkeley,0.10249999999999999,Alameda,City
Beverly Hills,9.7500000000000003E-2,Los Angeles,City
Big Bear Lake,7.7499999999999999E-2,San Bernardino,City
Biggs,8.2500000000000004E-2,Butte,City
Bishop,8.7499999999999994E-2,Inyo,City
Blue Lake,9.7500000000000003E-2,Humboldt,City
Blythe,8.7499999999999994E-2,Riverside,City
Bradbury,9.7500000000000003E-2,Los Angeles,City
Brawley,8.7499999999999994E-2,Imperial,City
Brea,7.7499999999999999E-2,Orange,City
Brentwood,8.7499999999999994E-2,Contra Costa,City
Brisbane,9.8750000000000004E-2,San Mateo,City
Buellton,7.7499999999999999E-2,Santa Barbara,City
Buena Park,8.7499999999999994E-2,Orange,City
Burbank,0.105,Los Angeles,City
Burlingame,9.6250000000000002E-2,San Mateo,City
Butte County,8.2500000000000004E-2,Butte,County
Calabasas,9.7500000000000003E-2,Los Angeles,City
Calaveras County,8.2500000000000004E-2,Calaveras,County
Calexico,8.2500000000000004E-2,Imperial,City
California City,8.2500000000000004E-2,Kern,City
Calimesa,7.7499999999999999E-2,Riverside,City
Calipatria,7.7499999999999999E-2,Imperial,City
Calistoga,7.7499999999999999E-2,Napa,City
Camarillo,7.2499999999999995E-2,Ventura,City
